noise_mad,noise_wavelet,noise_laplacian,time_calculate_noise_features,edge_density,edge_strength,time_calculate_edge_features,print_pattern_energy,print_pattern_variance,time_calculate_print_pattern_features,ela_mean,ela_variance,time_calculate_ela,saturation_variance,value_variance,time_calculate_color_features,histogram_entropy,histogram_spread,time_calculate_histogram_features,high_freq_energy,moire_score,halftone_score,time_analyze_frequency_domain,page,type
5.0,1.0483421514997082,187.7410119554264,0.20529149999993024,0.026031038366240534,45.54532488292538,0.10534839999991163,205.90721561236523,327.60763486717855,0.07225429999971311,0.768788692964077,0.8776639677647273,0.17485970000007,0.0,2797.0897535095164,0.05935379999982615,5.717240333557129,256.0,0.0011445000000094296,174.9984730062741,233.21334521861266,72.0,0.07394680000015796,1,original
4.0,1.0483421514997082,254.0757819983926,0.4229104000000916,0.03551927151358098,57.95515006894698,0.20450839999966774,215.02614541018463,332.23331715529815,0.24517390000028172,0.6654945550375556,0.7018132546036954,0.3318924000000152,0.0,2738.767615574903,0.12376880000010715,5.282031536102295,256.0,0.002122599999893282,181.71680827392086,250.05144991209218,118.0,0.1579434999998739,2,original
0.0,0.0,269.8426374537393,0.3001696000001175,0.033041226961269286,50.42692190673722,0.1603527999996004,212.98553549291816,313.43207897628434,0.1719546000003902,0.4046165631526877,0.6187580239391393,0.2694179999998596,0.0,2389.534239287553,0.10673080000015034,3.528839111328125,256.0,0.002414900000076159,180.392792990584,244.3542633782338,137.0,0.11770010000009279,3,original
3.0,1.0483421514996663,154.71652438328073,0.4141703000000234,0.019173400978264973,35.33038478779087,0.19870510000009745,210.52818870651402,367.38115086482435,0.1804906999996092,0.5505711005218146,0.553684891980463,0.3271695000003092,0.0,2143.3915412154442,0.12270219999982146,4.649971008300781,256.0,0.0020985000001019216,176.03575052438214,246.9560000141291,120.0,0.1493728000000374,4,original
5.0,1.0483421514997082,169.7995139520179,0.4109158999999636,0.031192018742348445,49.66723936187427,0.2197836999998799,216.2770131655739,399.768393632321,0.32579479999958494,0.7398298928157534,0.7447432158806666,0.31872740000017075,0.0,2425.538773287419,0.12627529999963372,5.471349239349365,256.0,0.002415700000256038,181.0551624136576,251.81786643743254,108.0,0.15891719999990528,5,original
5.0,1.0483421514997082,202.10555367310235,0.40960050000012416,0.03717145980301779,58.897535978968214,0.20612130000017714,218.6993435284449,390.57137939630366,0.265835899999729,0.7682175451437614,0.7982300622898443,0.34099509999987276,0.0,2925.8768364373805,0.12566070000002583,5.637443542480469,256.0,0.0017118000000664324,182.566470211593,252.93160631243293,103.0,0.15633480000042255,6,original
5.0,1.0483421514997082,193.46258887256604,0.44350440000016533,0.03481699889108893,55.56696965076768,0.20215959999995903,217.77376596564736,397.41375058559856,0.2264537000000928,0.7556865360034414,0.7935606717817165,0.35581290000027366,0.0,2713.9278998656578,0.138104299999668,5.536538124084473,256.0,0.0016897000000426488,183.0042489231495,252.1609486485312,84.0,0.16165940000018963,7,original
5.0,1.0483421514997082,174.28572782829258,0.43036879999999655,0.03483818691359866,45.53401947120131,0.2028656000002229,212.3727297947523,392.64838687564014,0.24640099999987797,0.7019859616539023,0.7154558049444846,0.3368476999999075,0.0,2994.5435121038036,0.12613169999985985,5.669013500213623,256.0,0.0020334999999249703,180.06795109318682,253.20479560649278,102.0,0.14585520000036922,8,original
6.0,2.0966843029994164,126.66936752974597,0.424896500000159,0.028094530141576358,48.57533235316122,0.19353750000027503,210.53886296839582,390.1855809077095,0.2968098999999711,0.8332441298479695,0.7744094859327249,0.34302070000012463,0.0,2037.9267397634344,0.12779050000017378,5.8846330642700195,256.0,0.0015023000000837783,178.16279222405183,251.01122667954237,162.0,0.1878310000001875,9,original
0.0,0.0,92.82645822969917,0.28887329999997746,0.01677508969562379,23.343023625987463,0.15374930000007225,209.28847821524067,362.20973275735446,0.19600760000002992,0.26760074447683746,0.48021830162668144,0.27088050000020303,0.0,1160.6335123997922,0.10979279999992286,2.604534149169922,256.0,0.0036085000001548906,176.69408238663044,242.37291791228915,108.0,0.16485289999991437,10,original
