page,filepath,noise_mad,noise_wavelet,noise_laplacian,time_calculate_noise_features,edge_density,edge_strength,time_calculate_edge_features,print_pattern_energy,print_pattern_variance,time_calculate_print_pattern_features,histogram_entropy,histogram_spread,time_calculate_histogram_features,dct_high_freq_mean,dct_low_freq_var,time_calculate_dct_features,high_freq_energy,moire_score,halftone_score,time_analyze_frequency_domain,ela_mean,ela_variance,ela_regional_var,time_enhanced_ela_analysis,saturation_variance,value_variance,time_calculate_color_features,blocking_artifacts,double_compression_likelihood,time_check_jpeg_artifacts,clone_detection_score,time_detect_clones,luminance_gradient_var,time_analyze_luminance_gradients,phash,time_calculate_phash,meta_basic_title,meta_basic_author,meta_basic_creator,meta_basic_producer,meta_basic_creation_date,meta_basic_modification_date,meta_basic_time_extract_pdf_metadata,meta_forensic_software_indicators,meta_forensic_date_anomalies,meta_forensic_metadata_anomaly_score,meta_forensic_error_exiftool,meta_forensic_raw_exif,meta_forensic_time_enhanced_metadata_analysis,document_type_label
1,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,5.0,1.0483421514997082,887.8194559651366,0.12371809999967809,0.042025897987034815,504.23820003714116,0.06458330000168644,208.75416315565505,411.1684899038692,0.34727829999974347,5.636843681335449,256.0,0.0010302999999112217,3.73299036350899,839079.1256200791,0.009732099999382626,174.23661538372295,206.41609054080078,64.0,0.0551181999999244,1.2801718596286056,1.9910327864537085,1.1512571420631965,0.10045379999974102,0.0,2837.5230268200235,0.03200470000047062,6.330649375915527,0.27930466471514964,0.09844239999983984,0.0,0.2379129999990255,18000.857760014856,0.06186109999907785,b70cc3c36c2784f3,0.012007000001176493,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
2,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,4.0,1.0483421514997082,1196.0616966770028,0.24087990000043646,0.05229256357369288,641.93994217915,0.1294261999992159,217.3437824065191,431.5961156258559,0.5114731000012398,5.204067230224609,256.0,0.0014081999997870298,6.188049725777876,869512.3466315853,0.010298899998815614,182.800635202548,204.85806870182338,53.0,0.04683339999974123,1.1076431186755078,1.5874557198373707,0.5286487081314409,0.1422115000004851,0.0,2794.8463691439633,0.06373979999989388,7.157729148864746,0.25074523985774927,0.20432129999971949,0.0,0.19383750000088185,31450.806784068882,0.14474179999888293,af0ff0688b07e8e2,0.027039000000513624,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
3,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,0.0,0.0,1308.0010726600992,0.1549101000000519,0.04773002556970256,697.6491701897056,0.09884320000128355,216.13362019601692,402.7042601651624,0.47581349999927625,3.278101921081543,256.0,0.00149049999890849,5.6879805283662535,923881.6293138805,0.008457199999611476,182.2413391030529,202.99851641994064,69.0,0.04744820000087202,0.6405759185231706,1.4347661495960207,0.5358653740018089,0.11990880000121251,0.0,2459.683261740808,0.04722010000114096,6.024406909942627,0.40567643080859644,0.14614970000002359,0.0,0.13842569999906118,34258.198526724904,0.10053139999945415,ee15966ad166c19c,0.016867899999851943,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
4,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,3.0,1.0483421514997082,579.7148620145498,0.19647550000081537,0.028075836129600087,626.3273742549796,0.10299049999957788,211.39795404857284,485.28085062660705,0.3314544000004389,4.5429911613464355,256.0,0.001780299999154522,4.565217833634716,921017.8242729545,0.008210199999666656,178.14209891685877,201.5321429608714,59.0,0.038193000000319444,0.9131404625529457,1.2180945940450936,0.24647132379215914,0.13272159999905853,0.0,2161.8776443260012,0.06324759999915841,4.414356231689453,0.22129552567649446,0.1793822999989061,0.0,0.10486019999916607,18770.433356575202,0.11916489999930491,a920d0939bccccdf,0.021887400000196067,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
5,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,5.0,2.0966843029993742,806.7254315206447,0.19683609999992768,0.04444510251573931,574.257928601389,0.10409720000097877,217.02976934055937,491.22353304926736,0.4324025999994774,5.464786052703857,256.0,0.0008560000005672919,6.073285472818867,830922.1075455241,0.008499399998981971,184.20712111165733,211.18630423419916,59.0,0.042844999999942956,1.2850854913868794,1.7960443607669738,0.8044849201996197,0.13755640000090352,0.0,2467.0276752170457,0.058271600000807666,6.534300327301025,0.24815364784445304,0.18571460000021034,0.0,0.23740360000010696,23362.513319013877,0.12041710000085004,bfb4c37083946f90,0.02101570000013453,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
6,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,5.0,2.0966843029993742,1005.1313439683848,0.21348140000009153,0.05331593288273957,603.2213012303553,0.10623049999958312,219.11211761139435,501.2173730103905,0.4822449000002962,5.6199846267700195,256.0,0.0011015000000043074,6.507401096833259,807666.1742653365,0.010547399999268237,186.50935649758938,212.63627783902805,57.0,0.040389700001469464,1.3255875357369329,1.9226186620346297,0.917347231143048,0.14696850000109407,0.0,2984.464851378885,0.062479399999574525,7.5750813484191895,0.26109622608379357,0.1920466999999917,0.0,0.24681869999949413,29790.85336432879,0.11586600000009639,ba62c16cd33c9396,0.020653600000514416,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
7,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,5.0,2.0966843029993742,939.8621126882465,0.2223809999995865,0.04998290635277826,596.1977012585879,0.11159140000017942,218.32097415517475,501.4950053907385,0.5208746000007523,5.517731666564941,256.0,0.0016242999990936369,6.346048887230297,829657.9266741448,0.007781800000884687,185.74624293816134,212.7086693620302,46.0,0.03603750000002037,1.3051767786048123,1.8623840543473837,0.63057752200562,0.12577299999975367,0.0,2769.8787479225552,0.05957779999880586,7.192518711090088,0.2564854311682254,0.18540390000089246,0.0,0.21798349999880884,27829.637434057946,0.11781950000113284,be4bc134c3b4499b,0.02137570000013511,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
8,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,5.0,2.0966843029993742,798.9391375708101,0.20668819999991683,0.0500596635578435,470.87441297111275,0.11410449999857519,214.18974546187522,458.171973150495,0.45005959999980405,5.658824920654297,256.0,0.001034599999911734,4.779615484777228,814084.696029166,0.008892900001228554,180.3478097580629,207.9388986206543,56.0,0.03829610000138928,1.204465720378228,1.661449417842934,0.4957661957751781,0.1322452999993402,0.0,3028.6262881881057,0.06095409999943513,5.990645408630371,0.24285744078435775,0.19737189999978,0.0,0.14110810000056517,18490.81869423198,0.12313090000134252,ca43b59fa5a54a4a,0.021263700000417884,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
9,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,6.0,3.145026454499083,576.1261218039991,0.2162032000014733,0.043103226851153885,486.8929988779954,0.1027033999998821,212.16348098718737,466.76189173902395,0.3527997000001051,5.8909687995910645,256.0,0.0013007000015932135,4.33138977391381,677989.8245035836,0.010680999999749474,178.54051491308985,204.5343326187644,92.0,0.048801999999341206,1.4129214756743778,1.8004123163906198,0.7980918482263981,0.13710100000025705,0.0,2071.9672546720017,0.058349299999463256,6.429252624511719,0.20967970843385283,0.19184560000030615,0.0,0.17277220000141824,15797.982862330426,0.11623850000069069,ab4681b9dcd3f144,0.02047889999994368,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
10,original_docs\HL25ARU000191509 - GIFT DEED -ORG.pdf,0.0,0.0,447.13777757787534,0.1358909999999014,0.02361140622568536,585.6739707443262,0.09147009999833244,210.2502795871157,470.74438212489173,0.3888569999999163,2.401455879211426,256.0,0.003801700000622077,4.159242033828545,981157.0778134378,0.01091190000079223,177.1949448629075,205.24195442984217,67.0,0.061506600000939216,0.4279619723545283,1.0950998037875872,0.6375968508665152,0.11975030000030529,0.0,1178.2454336947605,0.049189499999556574,2.990697145462036,0.46961222998774466,0.16396830000121554,0.0,0.1424552999997104,13715.698456160157,0.09691550000025018,bb38c1c71fb4c06a,0.017768100000466802,,,PDFium,PDFium,D:20250430131856,,0.0010696999997890089,[],False,0.0,Exiftool not found,{},0.009107100000619539,original
